segundo,calculo,timestamp,hora_minuto,valor_real,temp_aparente,precipitacao
0,0,1529402740,10:05,35,23.86,0
1,0,1529402741,10:05,35,23.86,0
2,0,1529402742,10:05,35,23.86,0
3,0,1529402743,10:05,35,23.86,0
4,0,1529402744,10:05,35,23.86,0
5,0,1529402745,10:05,35,23.86,0
6,0,1529402746,10:05,35,23.86,0
7,0,1529402747,10:05,35,23.86,0
8,0,1529402748,10:05,35,23.86,0
9,0,1529402749,10:05,35,23.86,0
10,0,1529402750,10:05,35,23.86,0
11,0,1529402751,10:05,35,23.86,0
12,0,1529402752,10:05,35,23.86,0
13,0,1529402753,10:05,35,23.86,0
14,0,1529402754,10:05,35,23.86,0
15,0,1529402755,10:05,35,23.86,0
16,0,1529402756,10:05,35,23.86,0
17,0,1529402757,10:05,35,23.86,0
18,0,1529402758,10:05,35,23.86,0
19,0,1529402759,10:05,35,23.86,0
20,0,1529402760,10:06,35,23.86,0
21,0,1529402761,10:06,35,23.86,0
22,0,1529402762,10:06,35,23.86,0
23,0,1529402763,10:06,35,23.86,0
24,0,1529402764,10:06,35,23.86,0
25,0,1529402765,10:06,35,23.86,0
26,0,1529402766,10:06,35,23.86,0
27,0,1529402767,10:06,35,23.86,0
28,0,1529402768,10:06,35,23.86,0
29,0,1529402769,10:06,35,23.86,0
30,0,1529402770,10:06,35,23.86,0
31,0,1529402771,10:06,35,23.86,0
32,0,1529402772,10:06,35,23.86,0
33,0,1529402773,10:06,35,23.86,0
34,0,1529402774,10:06,35,23.86,0
35,0,1529402775,10:06,35,23.86,0
36,0,1529402776,10:06,35,23.86,0
37,0,1529402777,10:06,35,23.86,0
38,0,1529402778,10:06,35,23.86,0
39,0,1529402779,10:06,35,23.86,0
40,0,1529402780,10:06,35,23.86,0
41,0,1529402781,10:06,35,23.86,0
42,0,1529402782,10:06,35,23.86,0
43,0,1529402783,10:06,35,23.86,0
44,0,1529402784,10:06,35,23.86,0
45,0,1529402785,10:06,35,23.86,0
46,0,1529402786,10:06,35,23.86,0
47,0,1529402787,10:06,35,23.86,0
48,0,1529402788,10:06,35,23.86,0
49,0,1529402789,10:06,35,23.86,0
50,0,1529402790,10:06,35,23.86,0
51,0,1529402791,10:06,35,23.86,0
52,0,1529402792,10:06,35,23.86,0
53,0,1529402793,10:06,35,23.86,0
54,0,1529402794,10:06,35,23.86,0
55,0,1529402795,10:06,35,23.86,0
56,0,1529402796,10:06,35,23.86,0
57,0,1529402797,10:06,35,23.86,0
58,0,1529402798,10:06,35,23.86,0
59,0,1529402799,10:06,35,23.86,0
60,0,1529402800,10:06,35,23.89,0
61,3,1529402801,10:06,35,23.89,0
62,7,1529402802,10:06,35,23.89,0
63,8,1529402803,10:06,35,23.89,0
64,10,1529402804,10:06,35,23.89,0
65,10,1529402805,10:06,35,23.89,0
66,11,1529402806,10:06,35,23.89,0
67,11,1529402807,10:06,35,23.89,0
68,12,1529402808,10:06,35,23.89,0
69,12,1529402809,10:06,35,23.89,0
70,12,1529402810,10:06,35,23.89,0
71,13,1529402811,10:06,35,23.89,0
72,15,1529402812,10:06,35,23.89,0
73,15,1529402813,10:06,35,23.89,0
74,15,1529402814,10:06,35,23.89,0
75,15,1529402815,10:06,35,23.89,0
76,16,1529402816,10:06,35,23.89,0
77,16,1529402817,10:06,35,23.89,0
78,19,1529402818,10:06,35,23.89,0
79,20,1529402819,10:06,35,23.89,0
80,21,1529402820,10:07,35,23.89,0
81,23,1529402821,10:07,35,23.89,0
82,23,1529402822,10:07,35,23.89,0
83,24,1529402823,10:07,35,23.89,0
84,29,1529402824,10:07,35,23.89,0
85,31,1529402825,10:07,35,23.89,0
86,32,1529402826,10:07,35,23.89,0
87,32,1529402827,10:07,35,23.89,0
88,32,1529402828,10:07,35,23.89,0
89,32,1529402829,10:07,35,23.89,0
90,32,1529402830,10:07,35,23.89,0
91,33,1529402831,10:07,35,23.89,0
92,33,1529402832,10:07,35,23.89,0
93,33,1529402833,10:07,35,23.89,0
94,33,1529402834,10:07,35,23.89,0
95,33,1529402835,10:07,35,23.89,0
96,34,1529402836,10:07,35,23.89,0
97,34,1529402837,10:07,35,23.89,0
98,34,1529402838,10:07,35,23.89,0
99,34,1529402839,10:07,35,23.89,0
100,34,1529402840,10:07,35,23.89,0
101,34,1529402841,10:07,35,23.89,0
102,34,1529402842,10:07,35,23.89,0
103,35,1529402843,10:07,35,23.89,0
104,35,1529402844,10:07,35,23.89,0
105,36,1529402845,10:07,35,23.89,0
106,37,1529402846,10:07,35,23.89,0
107,37,1529402847,10:07,35,23.89,0
