segundo,calculo,timestamp,hora_minuto,valor_real,temp_aparente,precipitacao
0,0,1532618922,15:28,21,29.54,0.0102
1,0,1532618923,15:28,21,29.54,0.0102
2,0,1532618924,15:28,21,29.54,0.0102
3,0,1532618925,15:28,21,29.54,0.0102
4,0,1532618926,15:28,21,29.54,0.0102
5,0,1532618927,15:28,21,29.54,0.0102
6,0,1532618928,15:28,21,29.54,0.0102
7,0,1532618929,15:28,21,29.54,0.0102
8,0,1532618930,15:28,21,29.54,0.0102
9,0,1532618931,15:28,21,29.54,0.0102
10,0,1532618932,15:28,21,29.54,0.0102
11,0,1532618933,15:28,21,29.54,0.0102
12,0,1532618934,15:28,21,29.54,0.0102
13,0,1532618935,15:28,21,29.54,0.0102
14,0,1532618936,15:28,21,29.54,0.0102
15,0,1532618937,15:28,21,29.54,0.0102
16,0,1532618938,15:28,21,29.54,0.0102
17,0,1532618939,15:28,21,29.54,0.0102
18,0,1532618940,15:29,13,29.54,0.0102
19,0,1532618941,15:29,13,29.54,0.0102
20,0,1532618942,15:29,13,29.54,0.0102
21,0,1532618943,15:29,13,29.54,0.0102
22,0,1532618944,15:29,13,29.54,0.0102
23,0,1532618945,15:29,13,29.54,0.0102
24,0,1532618946,15:29,13,29.54,0.0102
25,0,1532618947,15:29,13,29.54,0.0102
26,0,1532618948,15:29,13,29.54,0.0102
27,0,1532618949,15:29,13,29.54,0.0102
28,0,1532618950,15:29,13,29.54,0.0102
29,0,1532618951,15:29,13,29.54,0.0102
30,0,1532618952,15:29,13,29.54,0.0102
31,0,1532618953,15:29,13,29.54,0.0102
32,0,1532618954,15:29,13,29.54,0.0102
33,0,1532618955,15:29,13,29.54,0.0102
34,0,1532618956,15:29,13,29.54,0.0102
35,0,1532618957,15:29,13,29.54,0.0102
36,0,1532618958,15:29,13,29.54,0.0102
37,0,1532618959,15:29,13,29.54,0.0102
38,0,1532618960,15:29,13,29.54,0.0102
39,0,1532618961,15:29,13,29.54,0.0102
40,0,1532618962,15:29,13,29.54,0.0102
41,0,1532618963,15:29,13,29.54,0.0102
42,0,1532618964,15:29,13,29.54,0.0102
43,0,1532618965,15:29,13,29.54,0.0102
44,0,1532618966,15:29,13,29.54,0.0102
45,0,1532618967,15:29,13,29.54,0.0102
46,0,1532618968,15:29,13,29.54,0.0102
47,0,1532618969,15:29,13,29.54,0.0102
48,0,1532618970,15:29,13,29.54,0.0102
49,0,1532618971,15:29,13,29.54,0.0102
50,0,1532618972,15:29,13,29.54,0.0102
51,0,1532618973,15:29,13,29.54,0.0102
52,0,1532618974,15:29,13,29.54,0.0102
53,0,1532618975,15:29,13,29.54,0.0102
54,0,1532618976,15:29,13,29.54,0.0102
55,0,1532618977,15:29,13,29.54,0.0102
56,0,1532618978,15:29,13,29.54,0.0102
57,0,1532618979,15:29,13,29.54,0.0102
58,0,1532618980,15:29,13,29.54,0.0102
59,0,1532618981,15:29,13,29.54,0.0102
60,0,1532618982,15:29,13,29.53,0.0102
61,1,1532618983,15:29,13,29.53,0.0102
62,2,1532618984,15:29,13,29.53,0.0102
63,3,1532618985,15:29,13,29.53,0.0102
64,3,1532618986,15:29,13,29.53,0.0102
65,4,1532618987,15:29,13,29.53,0.0102
66,5,1532618988,15:29,13,29.53,0.0102
67,6,1532618989,15:29,13,29.53,0.0102
68,6,1532618990,15:29,13,29.53,0.0102
69,7,1532618991,15:29,13,29.53,0.0102
70,7,1532618992,15:29,13,29.53,0.0102
71,7,1532618993,15:29,13,29.53,0.0102
72,7,1532618994,15:29,13,29.53,0.0102
73,7,1532618995,15:29,13,29.53,0.0102
74,8,1532618996,15:29,13,29.53,0.0102
75,8,1532618997,15:29,13,29.53,0.0102
76,8,1532618998,15:29,13,29.53,0.0102
77,8,1532618999,15:29,13,29.53,0.0102
78,8,1532619000,15:30,13,29.53,0.0102
79,9,1532619001,15:30,13,29.53,0.0102
80,11,1532619002,15:30,13,29.53,0.0102
81,12,1532619003,15:30,13,29.53,0.0102
82,13,1532619004,15:30,13,29.53,0.0102
83,13,1532619005,15:30,13,29.53,0.0102
84,13,1532619006,15:30,13,29.53,0.0102
85,13,1532619007,15:30,13,29.53,0.0102
86,13,1532619008,15:30,13,29.53,0.0102
87,13,1532619009,15:30,13,29.53,0.0102
88,15,1532619010,15:30,13,29.53,0.0102
89,17,1532619011,15:30,13,29.53,0.0102
90,18,1532619012,15:30,13,29.53,0.0102
91,19,1532619013,15:30,13,29.53,0.0102
92,21,1532619014,15:30,13,29.53,0.0102
93,21,1532619015,15:30,13,29.53,0.0102
94,22,1532619016,15:30,13,29.53,0.0102
95,23,1532619017,15:30,13,29.53,0.0102
96,24,1532619018,15:30,13,29.53,0.0102
97,24,1532619019,15:30,13,29.53,0.0102
98,25,1532619020,15:30,13,29.53,0.0102
99,25,1532619021,15:30,13,29.53,0.0102
100,26,1532619022,15:30,13,29.53,0.0102
101,30,1532619023,15:30,13,29.53,0.0102
102,30,1532619024,15:30,13,29.53,0.0102
103,31,1532619025,15:30,13,29.53,0.0102
104,31,1532619026,15:30,13,29.53,0.0102
105,31,1532619027,15:30,13,29.53,0.0102
106,31,1532619028,15:30,13,29.53,0.0102
107,31,1532619029,15:30,13,29.53,0.0102
108,32,1532619030,15:30,13,29.53,0.0102
109,32,1532619031,15:30,13,29.53,0.0102
110,34,1532619032,15:30,13,29.53,0.0102
111,35,1532619033,15:30,13,29.53,0.0102
112,35,1532619034,15:30,13,29.53,0.0102
113,37,1532619035,15:30,13,29.53,0.0102
