segundo,calculo,timestamp,hora_minuto,valor_real
0,0,1529404564,10:36,24
1,0,1529404565,10:36,24
2,0,1529404566,10:36,24
3,0,1529404567,10:36,24
4,0,1529404568,10:36,24
5,0,1529404569,10:36,24
6,0,1529404570,10:36,24
7,0,1529404571,10:36,24
8,0,1529404572,10:36,24
9,0,1529404573,10:36,24
10,0,1529404574,10:36,24
11,0,1529404575,10:36,24
12,0,1529404576,10:36,24
13,0,1529404577,10:36,24
14,0,1529404578,10:36,24
15,0,1529404579,10:36,24
16,0,1529404580,10:36,24
17,0,1529404581,10:36,24
18,0,1529404582,10:36,24
19,0,1529404583,10:36,24
20,0,1529404584,10:36,24
21,0,1529404585,10:36,24
22,0,1529404586,10:36,24
23,0,1529404587,10:36,24
24,0,1529404588,10:36,24
25,0,1529404589,10:36,24
26,0,1529404590,10:36,24
27,0,1529404591,10:36,24
28,0,1529404592,10:36,24
29,0,1529404593,10:36,24
30,0,1529404594,10:36,24
31,0,1529404595,10:36,24
32,0,1529404596,10:36,24
33,0,1529404597,10:36,24
34,0,1529404598,10:36,24
35,0,1529404599,10:36,24
36,0,1529404600,10:36,24
37,0,1529404601,10:36,24
38,0,1529404602,10:36,24
39,0,1529404603,10:36,24
40,0,1529404604,10:36,24
41,0,1529404605,10:36,24
42,0,1529404606,10:36,24
43,0,1529404607,10:36,24
44,0,1529404608,10:36,24
45,0,1529404609,10:36,24
46,0,1529404610,10:36,24
47,0,1529404611,10:36,24
48,0,1529404612,10:36,24
49,0,1529404613,10:36,24
50,0,1529404614,10:36,24
51,0,1529404615,10:36,24
52,0,1529404616,10:36,24
53,0,1529404617,10:36,24
54,0,1529404618,10:36,24
55,0,1529404619,10:36,24
56,0,1529404620,10:37,24
57,0,1529404621,10:37,24
58,0,1529404622,10:37,24
59,0,1529404623,10:37,24
60,0,1529404624,10:37,24
61,0,1529404625,10:37,24
62,0,1529404626,10:37,24
63,0,1529404627,10:37,24
64,0,1529404628,10:37,24
65,0,1529404629,10:37,24
66,0,1529404630,10:37,24
67,0,1529404631,10:37,24
68,0,1529404632,10:37,24
69,0,1529404633,10:37,24
70,0,1529404634,10:37,24
71,0,1529404635,10:37,24
72,0,1529404636,10:37,24
73,0,1529404637,10:37,24
74,0,1529404638,10:37,24
75,0,1529404639,10:37,24
76,0,1529404640,10:37,24
77,0,1529404641,10:37,24
78,0,1529404642,10:37,24
79,0,1529404643,10:37,24
80,0,1529404644,10:37,24
81,2,1529404645,10:37,24
82,3,1529404646,10:37,24
83,3,1529404647,10:37,24
84,3,1529404648,10:37,24
85,3,1529404649,10:37,24
86,4,1529404650,10:37,24
87,4,1529404651,10:37,24
88,5,1529404652,10:37,24
89,7,1529404653,10:37,24
90,10,1529404654,10:37,24
91,10,1529404655,10:37,24
92,10,1529404656,10:37,24
93,10,1529404657,10:37,24
94,10,1529404658,10:37,24
95,10,1529404659,10:37,24
96,10,1529404660,10:37,24
97,10,1529404661,10:37,24
98,10,1529404662,10:37,24
99,12,1529404663,10:37,24
100,12,1529404664,10:37,24
101,15,1529404665,10:37,24
102,16,1529404666,10:37,24
103,19,1529404667,10:37,24
104,19,1529404668,10:37,24
105,19,1529404669,10:37,24
106,19,1529404670,10:37,24
107,19,1529404671,10:37,24
108,19,1529404672,10:37,24
109,19,1529404673,10:37,24
