segundo,calculo,timestamp,hora_minuto,valor_real,temp_aparente,precipitacao
0,0,1531310041,11:54,20,28.68,0.0305
1,0,1531310042,11:54,20,28.68,0.0305
2,0,1531310043,11:54,20,28.68,0.0305
3,0,1531310044,11:54,20,28.68,0.0305
4,0,1531310045,11:54,20,28.68,0.0305
5,0,1531310046,11:54,20,28.68,0.0305
6,0,1531310047,11:54,20,28.68,0.0305
7,0,1531310048,11:54,20,28.68,0.0305
8,0,1531310049,11:54,20,28.68,0.0305
9,0,1531310050,11:54,20,28.68,0.0305
10,0,1531310051,11:54,20,28.68,0.0305
11,0,1531310052,11:54,20,28.68,0.0305
12,0,1531310053,11:54,20,28.68,0.0305
13,0,1531310054,11:54,20,28.68,0.0305
14,0,1531310055,11:54,20,28.68,0.0305
15,0,1531310056,11:54,20,28.68,0.0305
16,0,1531310057,11:54,20,28.68,0.0305
17,0,1531310058,11:54,20,28.68,0.0305
18,0,1531310059,11:54,20,28.68,0.0305
19,0,1531310060,11:54,20,28.68,0.0305
20,0,1531310061,11:54,20,28.68,0.0305
21,0,1531310062,11:54,20,28.68,0.0305
22,0,1531310063,11:54,20,28.68,0.0305
23,0,1531310064,11:54,20,28.68,0.0305
24,0,1531310065,11:54,20,28.68,0.0305
25,0,1531310066,11:54,20,28.68,0.0305
26,0,1531310067,11:54,20,28.68,0.0305
27,0,1531310068,11:54,20,28.68,0.0305
28,0,1531310069,11:54,20,28.68,0.0305
29,0,1531310070,11:54,20,28.68,0.0305
30,0,1531310071,11:54,20,28.68,0.0305
31,0,1531310072,11:54,20,28.68,0.0305
32,0,1531310073,11:54,20,28.68,0.0305
33,0,1531310074,11:54,20,28.68,0.0305
34,0,1531310075,11:54,20,28.68,0.0305
35,0,1531310076,11:54,20,28.68,0.0305
36,0,1531310077,11:54,20,28.68,0.0305
37,0,1531310078,11:54,20,28.68,0.0305
38,0,1531310079,11:54,20,28.68,0.0305
39,0,1531310080,11:54,20,28.68,0.0305
40,0,1531310081,11:54,20,28.68,0.0305
41,0,1531310082,11:54,20,28.68,0.0305
42,0,1531310083,11:54,20,28.68,0.0305
43,0,1531310084,11:54,20,28.68,0.0305
44,0,1531310085,11:54,20,28.68,0.0305
45,0,1531310086,11:54,20,28.68,0.0305
46,0,1531310087,11:54,20,28.68,0.0305
47,0,1531310088,11:54,20,28.68,0.0305
48,0,1531310089,11:54,20,28.68,0.0305
49,0,1531310090,11:54,20,28.68,0.0305
50,0,1531310091,11:54,20,28.68,0.0305
51,0,1531310092,11:54,20,28.68,0.0305
52,0,1531310093,11:54,20,28.68,0.0305
53,0,1531310094,11:54,20,28.68,0.0305
54,0,1531310095,11:54,20,28.68,0.0305
55,0,1531310096,11:54,20,28.68,0.0305
56,0,1531310097,11:54,20,28.68,0.0305
57,0,1531310098,11:54,20,28.68,0.0305
58,0,1531310099,11:54,20,28.68,0.0305
59,0,1531310100,11:55,24,28.68,0.0305
60,0,1531310101,11:55,24,28.71,0.0305
61,1,1531310102,11:55,24,28.71,0.0305
62,2,1531310103,11:55,24,28.71,0.0305
63,2,1531310104,11:55,24,28.71,0.0305
64,2,1531310105,11:55,24,28.71,0.0305
65,3,1531310106,11:55,24,28.71,0.0305
66,4,1531310107,11:55,24,28.71,0.0305
67,4,1531310108,11:55,24,28.71,0.0305
68,4,1531310109,11:55,24,28.71,0.0305
69,4,1531310110,11:55,24,28.71,0.0305
70,5,1531310111,11:55,24,28.71,0.0305
71,6,1531310112,11:55,24,28.71,0.0305
72,6,1531310113,11:55,24,28.71,0.0305
73,7,1531310114,11:55,24,28.71,0.0305
74,7,1531310115,11:55,24,28.71,0.0305
75,8,1531310116,11:55,24,28.71,0.0305
76,8,1531310117,11:55,24,28.71,0.0305
77,9,1531310118,11:55,24,28.71,0.0305
78,10,1531310119,11:55,24,28.71,0.0305
79,12,1531310120,11:55,24,28.71,0.0305
80,12,1531310121,11:55,24,28.71,0.0305
81,13,1531310122,11:55,24,28.71,0.0305
82,13,1531310123,11:55,24,28.71,0.0305
83,14,1531310124,11:55,24,28.71,0.0305
84,15,1531310125,11:55,24,28.71,0.0305
85,15,1531310126,11:55,24,28.71,0.0305
86,15,1531310127,11:55,24,28.71,0.0305
87,16,1531310128,11:55,24,28.71,0.0305
88,17,1531310129,11:55,24,28.71,0.0305
89,19,1531310130,11:55,24,28.71,0.0305
90,19,1531310131,11:55,24,28.71,0.0305
91,19,1531310132,11:55,24,28.71,0.0305
92,19,1531310133,11:55,24,28.71,0.0305
93,20,1531310134,11:55,24,28.71,0.0305
94,20,1531310135,11:55,24,28.71,0.0305
95,20,1531310136,11:55,24,28.71,0.0305
96,20,1531310137,11:55,24,28.71,0.0305
97,21,1531310138,11:55,24,28.71,0.0305
98,25,1531310139,11:55,24,28.71,0.0305
99,25,1531310140,11:55,24,28.71,0.0305
100,26,1531310141,11:55,24,28.71,0.0305
101,27,1531310142,11:55,24,28.71,0.0305
102,27,1531310143,11:55,24,28.71,0.0305
103,27,1531310144,11:55,24,28.71,0.0305
104,27,1531310145,11:55,24,28.71,0.0305
105,27,1531310146,11:55,24,28.71,0.0305
106,29,1531310147,11:55,24,28.71,0.0305
107,29,1531310148,11:55,24,28.71,0.0305
108,30,1531310149,11:55,24,28.71,0.0305
109,30,1531310150,11:55,24,28.71,0.0305
110,30,1531310151,11:55,24,28.71,0.0305
111,32,1531310152,11:55,24,28.71,0.0305
112,32,1531310153,11:55,24,28.71,0.0305
113,34,1531310154,11:55,24,28.71,0.0305
114,35,1531310155,11:55,24,28.71,0.0305
115,37,1531310156,11:55,24,28.71,0.0305
116,38,1531310157,11:55,24,28.71,0.0305
117,39,1531310158,11:55,24,28.71,0.0305
118,39,1531310159,11:55,24,28.71,0.0305
119,39,1531310160,11:56,24,28.71,0.0305
120,39,1531310161,11:56,24,28.73,0.0305
121,40,1531310162,11:56,24,28.73,0.0305
122,42,1531310163,11:56,24,28.73,0.0305
123,42,1531310164,11:56,24,28.73,0.0305
124,43,1531310165,11:56,24,28.73,0.0305
125,44,1531310166,11:56,24,28.73,0.0305
126,47,1531310167,11:56,24,28.73,0.0305
127,47,1531310168,11:56,24,28.73,0.0305
128,47,1531310169,11:56,24,28.73,0.0305
129,48,1531310170,11:56,24,28.73,0.0305
130,48,1531310171,11:56,24,28.73,0.0305
131,48,1531310172,11:56,24,28.73,0.0305
132,50,1531310173,11:56,24,28.73,0.0305
133,50,1531310174,11:56,24,28.73,0.0305
134,50,1531310175,11:56,24,28.73,0.0305
135,50,1531310176,11:56,24,28.73,0.0305
136,51,1531310177,11:56,24,28.73,0.0305
137,52,1531310178,11:56,24,28.73,0.0305
138,52,1531310179,11:56,24,28.73,0.0305
139,52,1531310180,11:56,24,28.73,0.0305
140,53,1531310181,11:56,24,28.73,0.0305
141,54,1531310182,11:56,24,28.73,0.0305
142,54,1531310183,11:56,24,28.73,0.0305
143,54,1531310184,11:56,24,28.73,0.0305
144,55,1531310185,11:56,24,28.73,0.0305
145,56,1531310186,11:56,24,28.73,0.0305
146,59,1531310187,11:56,24,28.73,0.0305
147,59,1531310188,11:56,24,28.73,0.0305
148,60,1531310189,11:56,24,28.73,0.0305
149,60,1531310190,11:56,24,28.73,0.0305
150,60,1531310191,11:56,24,28.73,0.0305
151,59,1531310192,11:56,24,28.73,0.0305
152,61,1531310193,11:56,24,28.73,0.0305
153,62,1531310194,11:56,24,28.73,0.0305
154,62,1531310195,11:56,24,28.73,0.0305
155,61,1531310196,11:56,24,28.73,0.0305
156,62,1531310197,11:56,24,28.73,0.0305
157,63,1531310198,11:56,24,28.73,0.0305
158,63,1531310199,11:56,24,28.73,0.0305
159,63,1531310200,11:56,24,28.73,0.0305
160,64,1531310201,11:56,24,28.73,0.0305
161,64,1531310202,11:56,24,28.73,0.0305
162,65,1531310203,11:56,24,28.73,0.0305
163,64,1531310204,11:56,24,28.73,0.0305
164,64,1531310205,11:56,24,28.73,0.0305
165,64,1531310206,11:56,24,28.73,0.0305
166,65,1531310207,11:56,24,28.73,0.0305
167,65,1531310208,11:56,24,28.73,0.0305
168,65,1531310209,11:56,24,28.73,0.0305
169,66,1531310210,11:56,24,28.73,0.0305
170,66,1531310211,11:56,24,28.73,0.0305
171,65,1531310212,11:56,24,28.73,0.0305
172,65,1531310213,11:56,24,28.73,0.0305
173,66,1531310214,11:56,24,28.73,0.0305
174,65,1531310215,11:56,24,28.73,0.0305
175,66,1531310216,11:56,24,28.73,0.0305
