segundo,calculo,timestamp,hora_minuto,valor_real
0,0,1529490818,10:33,11
1,0,1529490819,10:33,11
2,0,1529490820,10:33,11
3,0,1529490821,10:33,11
4,0,1529490822,10:33,11
5,0,1529490823,10:33,11
6,0,1529490824,10:33,11
7,0,1529490825,10:33,11
8,0,1529490826,10:33,11
9,0,1529490827,10:33,11
10,0,1529490828,10:33,11
11,0,1529490829,10:33,11
12,0,1529490830,10:33,11
13,0,1529490831,10:33,11
14,0,1529490832,10:33,11
15,0,1529490833,10:33,11
16,0,1529490834,10:33,11
17,0,1529490835,10:33,11
18,0,1529490836,10:33,11
19,0,1529490837,10:33,11
20,0,1529490838,10:33,11
21,0,1529490839,10:33,11
22,0,1529490840,10:34,12
23,0,1529490841,10:34,12
24,0,1529490842,10:34,12
25,0,1529490843,10:34,12
26,0,1529490844,10:34,12
27,0,1529490845,10:34,12
28,0,1529490846,10:34,12
29,0,1529490847,10:34,12
30,0,1529490848,10:34,12
31,0,1529490849,10:34,12
32,0,1529490850,10:34,12
33,0,1529490851,10:34,12
34,0,1529490852,10:34,12
35,0,1529490853,10:34,12
36,0,1529490854,10:34,12
37,0,1529490855,10:34,12
38,0,1529490856,10:34,12
39,0,1529490857,10:34,12
40,0,1529490858,10:34,12
41,0,1529490859,10:34,12
42,0,1529490860,10:34,12
43,0,1529490861,10:34,12
44,0,1529490862,10:34,12
45,0,1529490863,10:34,12
46,0,1529490864,10:34,12
47,0,1529490865,10:34,12
48,0,1529490866,10:34,12
49,0,1529490867,10:34,12
50,0,1529490868,10:34,12
51,0,1529490869,10:34,12
52,0,1529490870,10:34,12
53,0,1529490871,10:34,12
54,0,1529490872,10:34,12
55,0,1529490873,10:34,12
56,0,1529490874,10:34,12
57,0,1529490875,10:34,12
58,0,1529490876,10:34,12
59,0,1529490877,10:34,12
60,0,1529490878,10:34,12
61,0,1529490879,10:34,12
62,0,1529490880,10:34,12
63,0,1529490881,10:34,12
64,0,1529490882,10:34,12
65,0,1529490883,10:34,12
66,0,1529490884,10:34,12
67,0,1529490885,10:34,12
68,0,1529490886,10:34,12
69,0,1529490887,10:34,12
70,0,1529490888,10:34,12
71,0,1529490889,10:34,12
72,0,1529490890,10:34,12
73,0,1529490891,10:34,12
74,0,1529490892,10:34,12
75,0,1529490893,10:34,12
76,0,1529490894,10:34,12
77,0,1529490895,10:34,12
78,0,1529490896,10:34,12
79,0,1529490897,10:34,12
80,0,1529490898,10:34,12
81,2,1529490899,10:34,12
82,3,1529490900,10:35,12
83,3,1529490901,10:35,12
84,6,1529490902,10:35,12
85,8,1529490903,10:35,12
86,11,1529490904,10:35,12
87,13,1529490905,10:35,12
88,16,1529490906,10:35,12
89,17,1529490907,10:35,12
90,19,1529490908,10:35,12
91,20,1529490909,10:35,12
92,20,1529490910,10:35,12
93,20,1529490911,10:35,12
94,17,1529490912,10:35,12
95,16,1529490913,10:35,12
96,15,1529490914,10:35,12
97,14,1529490915,10:35,12
98,11,1529490916,10:35,12
99,10,1529490917,10:35,12
100,8,1529490918,10:35,12
101,8,1529490919,10:35,12
102,9,1529490920,10:35,12
103,9,1529490921,10:35,12
104,9,1529490922,10:35,12
105,9,1529490923,10:35,12
106,8,1529490924,10:35,12
107,8,1529490925,10:35,12
108,8,1529490926,10:35,12
109,8,1529490927,10:35,12
110,8,1529490928,10:35,12
111,9,1529490929,10:35,12
112,9,1529490930,10:35,12
113,9,1529490931,10:35,12
114,9,1529490932,10:35,12
115,9,1529490933,10:35,12
116,9,1529490934,10:35,12
117,9,1529490935,10:35,12
118,8,1529490936,10:35,12
119,9,1529490937,10:35,12
120,9,1529490938,10:35,12
121,8,1529490939,10:35,12
122,8,1529490940,10:35,12
123,8,1529490941,10:35,12
124,8,1529490942,10:35,12
125,9,1529490943,10:35,12
126,9,1529490944,10:35,12
127,9,1529490945,10:35,12
128,10,1529490946,10:35,12
129,9,1529490947,10:35,12
130,9,1529490948,10:35,12
131,9,1529490949,10:35,12
132,9,1529490950,10:35,12
133,11,1529490951,10:35,12
134,11,1529490952,10:35,12
135,10,1529490953,10:35,12
136,10,1529490954,10:35,12
137,11,1529490955,10:35,12
138,11,1529490956,10:35,12
139,11,1529490957,10:35,12
140,11,1529490958,10:35,12
141,11,1529490959,10:35,12
142,11,1529490960,10:36,12
143,10,1529490961,10:36,12
144,10,1529490962,10:36,12
145,10,1529490963,10:36,12
146,10,1529490964,10:36,12
147,9,1529490965,10:36,12
148,8,1529490966,10:36,12
149,8,1529490967,10:36,12
150,8,1529490968,10:36,12
151,9,1529490969,10:36,12
152,10,1529490970,10:36,12
153,9,1529490971,10:36,12
154,9,1529490972,10:36,12
155,9,1529490973,10:36,12
156,10,1529490974,10:36,12
157,10,1529490975,10:36,12
158,10,1529490976,10:36,12
159,11,1529490977,10:36,12
160,12,1529490978,10:36,12
161,12,1529490979,10:36,12
162,11,1529490980,10:36,12
163,11,1529490981,10:36,12
164,11,1529490982,10:36,12
165,11,1529490983,10:36,12
166,10,1529490984,10:36,12
167,10,1529490985,10:36,12
168,10,1529490986,10:36,12
169,9,1529490987,10:36,12
170,7,1529490988,10:36,12
171,7,1529490989,10:36,12
172,7,1529490990,10:36,12
173,8,1529490991,10:36,12
174,9,1529490992,10:36,12
175,10,1529490993,10:36,12
176,10,1529490994,10:36,12
177,11,1529490995,10:36,12
178,11,1529490996,10:36,12
179,11,1529490997,10:36,12
180,12,1529490998,10:36,12
181,12,1529490999,10:36,12
182,13,1529491000,10:36,12
183,14,1529491001,10:36,12
184,14,1529491002,10:36,12
185,13,1529491003,10:36,12
186,14,1529491004,10:36,12
187,14,1529491005,10:36,12
188,15,1529491006,10:36,12
189,16,1529491007,10:36,12
190,16,1529491008,10:36,12
191,16,1529491009,10:36,12
192,15,1529491010,10:36,12
193,14,1529491011,10:36,12
194,12,1529491012,10:36,12
195,12,1529491013,10:36,12
196,11,1529491014,10:36,12
197,12,1529491015,10:36,12
198,12,1529491016,10:36,12
199,11,1529491017,10:36,12
200,10,1529491018,10:36,12
201,12,1529491019,10:36,12
202,12,1529491020,10:37,12
203,11,1529491021,10:37,12
204,11,1529491022,10:37,12
205,12,1529491023,10:37,12
206,11,1529491024,10:37,12
207,10,1529491025,10:37,12
208,10,1529491026,10:37,12
209,10,1529491027,10:37,12
210,10,1529491028,10:37,12
211,9,1529491029,10:37,12
212,9,1529491030,10:37,12
213,9,1529491031,10:37,12
214,9,1529491032,10:37,12
215,9,1529491033,10:37,12
216,9,1529491034,10:37,12
217,8,1529491035,10:37,12
218,8,1529491036,10:37,12
219,8,1529491037,10:37,12
220,8,1529491038,10:37,12
221,7,1529491039,10:37,12
222,7,1529491040,10:37,12
223,7,1529491041,10:37,12
224,7,1529491042,10:37,12
225,7,1529491043,10:37,12
226,7,1529491044,10:37,12
227,7,1529491045,10:37,12
228,7,1529491046,10:37,12
229,7,1529491047,10:37,12
230,7,1529491048,10:37,12
231,7,1529491049,10:37,12
232,7,1529491050,10:37,12
233,8,1529491051,10:37,12
234,8,1529491052,10:37,12
235,7,1529491053,10:37,12
236,7,1529491054,10:37,12
237,7,1529491055,10:37,12
238,7,1529491056,10:37,12
239,7,1529491057,10:37,12
240,7,1529491058,10:37,12
241,7,1529491059,10:37,12
242,7,1529491060,10:37,12
243,6,1529491061,10:37,12
244,6,1529491062,10:37,12
245,7,1529491063,10:37,12
246,7,1529491064,10:37,12
247,7,1529491065,10:37,12
248,7,1529491066,10:37,12
249,7,1529491067,10:37,12
250,7,1529491068,10:37,12
251,7,1529491069,10:37,12
252,7,1529491070,10:37,12
253,7,1529491071,10:37,12
254,7,1529491072,10:37,12
255,6,1529491073,10:37,12
256,6,1529491074,10:37,12
257,6,1529491075,10:37,12
258,7,1529491076,10:37,12
259,7,1529491077,10:37,12
260,7,1529491078,10:37,12
261,7,1529491079,10:37,12
262,7,1529491080,10:38,12
263,7,1529491081,10:38,12
264,7,1529491082,10:38,12
265,7,1529491083,10:38,12
266,7,1529491084,10:38,12
267,7,1529491085,10:38,12
268,6,1529491086,10:38,12
269,6,1529491087,10:38,12
270,7,1529491088,10:38,12
271,9,1529491089,10:38,12
272,9,1529491090,10:38,12
273,9,1529491091,10:38,12
274,9,1529491092,10:38,12
275,11,1529491093,10:38,12
276,11,1529491094,10:38,12
277,11,1529491095,10:38,12
278,11,1529491096,10:38,12
279,11,1529491097,10:38,12
280,10,1529491098,10:38,12
281,8,1529491099,10:38,12
282,9,1529491100,10:38,12
283,9,1529491101,10:38,12
284,9,1529491102,10:38,12
285,7,1529491103,10:38,12
286,7,1529491104,10:38,12
287,7,1529491105,10:38,12
288,7,1529491106,10:38,12
289,7,1529491107,10:38,12
290,7,1529491108,10:38,12
291,7,1529491109,10:38,12
292,7,1529491110,10:38,12
293,7,1529491111,10:38,12
294,8,1529491112,10:38,12
295,8,1529491113,10:38,12
296,8,1529491114,10:38,12
297,8,1529491115,10:38,12
298,9,1529491116,10:38,12
299,9,1529491117,10:38,12
300,9,1529491118,10:38,12
301,9,1529491119,10:38,12
302,9,1529491120,10:38,12
303,9,1529491121,10:38,12
304,8,1529491122,10:38,12
305,8,1529491123,10:38,12
306,8,1529491124,10:38,12
307,8,1529491125,10:38,12
308,8,1529491126,10:38,12
309,8,1529491127,10:38,12
310,8,1529491128,10:38,12
311,9,1529491129,10:38,12
312,9,1529491130,10:38,12
313,9,1529491131,10:38,12
314,9,1529491132,10:38,12
315,9,1529491133,10:38,12
316,10,1529491134,10:38,12
317,10,1529491135,10:38,12
318,9,1529491136,10:38,12
319,9,1529491137,10:38,12
320,11,1529491138,10:38,12
321,10,1529491139,10:38,12
322,10,1529491140,10:39,12
323,10,1529491141,10:39,12
324,10,1529491142,10:39,12
325,10,1529491143,10:39,12
326,9,1529491144,10:39,12
327,10,1529491145,10:39,12
328,10,1529491146,10:39,12
329,10,1529491147,10:39,12
330,9,1529491148,10:39,12
331,9,1529491149,10:39,12
332,9,1529491150,10:39,12
333,9,1529491151,10:39,12
334,10,1529491152,10:39,12
335,10,1529491153,10:39,12
336,10,1529491154,10:39,12
337,9,1529491155,10:39,12
338,9,1529491156,10:39,12
339,9,1529491157,10:39,12
340,8,1529491158,10:39,12
341,8,1529491159,10:39,12
342,8,1529491160,10:39,12
343,8,1529491161,10:39,12
344,7,1529491162,10:39,12
345,7,1529491163,10:39,12
346,7,1529491164,10:39,12
347,7,1529491165,10:39,12
348,8,1529491166,10:39,12
349,8,1529491167,10:39,12
350,9,1529491168,10:39,12
351,10,1529491169,10:39,12
352,10,1529491170,10:39,12
353,10,1529491171,10:39,12
354,9,1529491172,10:39,12
355,9,1529491173,10:39,12
356,9,1529491174,10:39,12
357,9,1529491175,10:39,12
358,7,1529491176,10:39,12
359,7,1529491177,10:39,12
360,7,1529491178,10:39,12
361,8,1529491179,10:39,12
362,8,1529491180,10:39,12
363,9,1529491181,10:39,12
364,9,1529491182,10:39,12
365,10,1529491183,10:39,12
366,10,1529491184,10:39,12
367,10,1529491185,10:39,12
368,10,1529491186,10:39,12
369,10,1529491187,10:39,12
370,10,1529491188,10:39,12
371,10,1529491189,10:39,12
372,10,1529491190,10:39,12
373,9,1529491191,10:39,12
374,9,1529491192,10:39,12
375,8,1529491193,10:39,12
376,8,1529491194,10:39,12
377,8,1529491195,10:39,12
378,8,1529491196,10:39,12
379,9,1529491197,10:39,12
380,9,1529491198,10:39,12
381,8,1529491199,10:39,12
382,8,1529491200,10:40,11
383,8,1529491201,10:40,11
384,8,1529491202,10:40,11
385,8,1529491203,10:40,11
386,9,1529491204,10:40,11
387,10,1529491205,10:40,11
388,10,1529491206,10:40,11
389,9,1529491207,10:40,11
390,10,1529491208,10:40,11
391,10,1529491209,10:40,11
392,10,1529491210,10:40,11
393,10,1529491211,10:40,11
394,10,1529491212,10:40,11
395,10,1529491213,10:40,11
396,9,1529491214,10:40,11
397,8,1529491215,10:40,11
398,9,1529491216,10:40,11
399,9,1529491217,10:40,11
400,8,1529491218,10:40,11
401,8,1529491219,10:40,11
402,8,1529491220,10:40,11
403,8,1529491221,10:40,11
404,9,1529491222,10:40,11
405,9,1529491223,10:40,11
406,10,1529491224,10:40,11
407,11,1529491225,10:40,11
408,9,1529491226,10:40,11
409,10,1529491227,10:40,11
410,10,1529491228,10:40,11
411,10,1529491229,10:40,11
412,11,1529491230,10:40,11
413,12,1529491231,10:40,11
414,11,1529491232,10:40,11
415,11,1529491233,10:40,11
416,10,1529491234,10:40,11
417,12,1529491235,10:40,11
418,12,1529491236,10:40,11
419,13,1529491237,10:40,11
420,13,1529491238,10:40,11
421,13,1529491239,10:40,11
422,13,1529491240,10:40,11
423,12,1529491241,10:40,11
424,12,1529491242,10:40,11
425,12,1529491243,10:40,11
426,12,1529491244,10:40,11
427,13,1529491245,10:40,11
428,13,1529491246,10:40,11
429,13,1529491247,10:40,11
430,12,1529491248,10:40,11
431,11,1529491249,10:40,11
432,11,1529491250,10:40,11
433,11,1529491251,10:40,11
434,11,1529491252,10:40,11
435,11,1529491253,10:40,11
436,11,1529491254,10:40,11
437,11,1529491255,10:40,11
